shortnam;africa;lat_abst;rich4;avexpr;logpgp95;logem4;asia;loghjypl
AGO;1;0,1366666704416275;0;5,36363649368286;7,77064514160156;5,63478946685791;0;-3,4112477302551270
ARG;0;0,3777777850627899;0;6,38636350631714;9,13345909118652;4,23265600204468;0;-0,8722738027572632
AUS;0;0,3000000119209290;1;9,31818199157715;9,89797210693359;2,14593124389648;0;-0,1707883328199387
BFA;1;0,1444444507360458;0;4,45454549789429;6,84588003158569;5,63478946685791;0;-3,5404593944549561
BGD;0;0,2666666805744171;0;5,13636350631714;6,87729597091675;4,26843786239624;1;-2,0635681152343750
BHS;0;0,2683333158493042;0;7,50000000000000;9,28544807434082;4,44265127182007;0;NA
BOL;0;0,1888888925313950;0;5,63636350631714;7,92660236358643;4,26268005371094;0;-1,9661128520965576
BRA;0;0,1111111119389534;0;7,90909099578857;8,72745418548584;4,26268005371094;0;-1,1425641775131226
CAN;0;0,6666666865348816;1;9,72727298736572;9,98644924163818;2,77881932258606;0;-0,0608121566474438
CHL;0;0,3333333432674408;0;7,81818199157715;9,33609199523926;4,23265600204468;0;-1,3356012105941772
CIV;1;0,0888888910412788;0;7,00000000000000;7,44424867630005;6,50428819656372;0;-2,3330442905426025
CMR;1;0,0666666701436043;0;6,45454549789429;7,50108194351196;5,63478946685791;0;-2,5770220756530762
COG;1;0,0111111113801599;0;4,68181800842285;7,42057895660400;5,48063898086548;0;-2,1037342548370361
COL;0;0,0444444455206394;0;7,31818199157715;8,80986309051514;4,26268005371094;0;-1,3318061828613281
CRI;0;0,1111111119389534;0;7,04545450210571;8,79482460021973;4,35799026489258;0;-1,3586791753768921
DOM;0;0,2111111134290695;0;6,18181800842285;8,36404228210449;4,86753463745117;0;-1,5798791646957397
DZA;1;0,3111111223697662;0;6,50000000000000;8,38935947418213;4,35926961898804;0;-1,1147416830062866
ECU;0;0,0222222227603197;0;6,54545450210571;8,47010135650635;4,26268005371094;0;-1,4396951198577881
EGY;1;0,3000000119209290;0;6,77272748947144;7,95155954360962;4,21656227111816;0;-1,6766465902328491
ETH;1;0,0888888910412788;0;5,72727251052856;6,10924768447876;3,25809645652771;0;NA
GAB;1;0,0111111113801599;0;7,81818199157715;8,90788269042969;5,63478946685791;0;-1,8515094518661499
GHA;1;0,0888888910412788;0;6,27272748947144;7,36518001556396;6,50428819656372;0;-2,9565114974975586
GIN;1;0,1222222223877907;0;6,54545450210571;7,48997068405151;6,18001651763916;0;-3,1465551853179932
GMB;1;0,1475555598735809;0;8,27272701263428;7,27239847183228;7,29301786422729;0;-3,0365543365478516
GTM;0;0,1700000017881393;0;5,13636350631714;8,29404926300049;4,26268005371094;0;-1,5606477260589600
GUY;0;0,0555555559694767;0;5,88636350631714;7,90470409393311;3,47134518623352;0;-2,2537949085235596
HKG;0;0,2461111098527908;0;8,13636398315430;10,04975032806396;2,70136117935181;1;-0,4975804388523102
HND;0;0,1666666716337204;0;5,31818199157715;7,68708038330078;4,35799026489258;0;-2,0402209758758545
HTI;0;0,2111111134290695;0;3,72727274894714;7,14677238464355;4,86753463745117;0;-2,8647038936614990
IDN;0;0,0555999986827374;0;7,59090900421143;8,07090568542480;5,13579845428467;1;-2,2072749137878418
IND;0;0,2222000062465668;0;8,27272701263428;7,32600021362305;3,88424062728882;1;-2,4534080028533936
JAM;0;0,2016666680574417;0;7,09090900421143;8,18868923187256;4,86753463745117;0;-2,0402209758758545
KEN;1;0,0111111113801599;0;6,04545450210571;7,05617523193359;4,97673368453979;0;-2,8824036121368408
LKA;0;0,0777777805924416;0;6,04545450210571;7,73193073272705;4,24563407897949;1;-1,8643301725387573
MAR;1;0,3555555641651154;0;7,09090900421143;8,04237842559814;4,35926961898804;0;-1,6766465902328491
MDG;1;0,2222222238779068;0;4,45454549789429;6,83518457412720;6,28420877456665;0;-3,1941831111907959
MEX;0;0,2555555701255798;0;7,50000000000000;8,94376754760742;4,26268005371094;0;-0,8370175361633301
MLI;1;0,1888888925313950;0;4,00000000000000;6,56526517868042;7,98616504669189;0;-3,3524072170257568
MLT;0;0,3944444358348846;0;7,22727251052856;9,42706298828125;2,79116511344910;0;-0,7700282335281372
MYS;0;0,0255555547773838;0;7,95454549789429;8,89425849914551;2,87356472015381;1;-1,3205066919326782
NER;1;0,1777777820825577;0;5,00000000000000;6,73340177536011;5,99146461486816;0;-3,5404593944549561
NGA;1;0,1111111119389534;0;5,54545450210571;6,81344461441040;7,60290050506592;0;-3,0365543365478516
NIC;0;0,1444444507360458;0;5,22727251052856;7,54433202743530;5,09558916091919;0;-2,0714733600616455
NZL;0;0,4555555582046509;1;9,72727298736572;9,75614738464355;2,14593124389648;0;-0,3326794207096100
PAK;0;0,3333333432674408;0;6,04545450210571;7,35244131088257;3,61064767837524;1;-2,0557248592376709
PAN;0;0,1000000014901161;0;5,90909099578857;8,83637428283691;5,09558916091919;0;-1,5005835294723511
PER;0;0,1111111119389534;0;5,77272748947144;8,39615440368652;4,26268005371094;0;-1,4396951198577881
PRY;0;0,2555555701255798;0;6,95454549789429;8,20794677734375;4,35799026489258;0;-1,7719568014144897
SDN;1;0,1666666716337204;0;4,00000000000000;7,30653142929077;4,47960710525513;0;-2,7030625343322754
SEN;1;0,1555555611848831;0;6,00000000000000;7,40245151519775;5,10388278961182;0;-2,6310892105102539
SGP;0;0,0135555556043983;0;9,31818199157715;10,14643383026123;2,87356472015381;1;-0,5008752942085266
SLE;1;0,0922222211956978;0;5,81818199157715;6,25382900238037;6,18001651763916;0;-2,7488720417022705
SLV;0;0,1500000059604645;0;5,00000000000000;7,94803190231323;4,35799026489258;0;-1,8515094518661499
TGO;1;0,0888888910412788;0;6,90909099578857;7,22256612777710;6,50428819656372;0;-3,2188758850097656
TTO;0;0,1222222223877907;0;7,45454549789429;8,76873016357422;4,44265127182007;0;-0,6971552371978760
TUN;1;0,3777777850627899;0;6,45454549789429;8,48260211944580;4,14313459396362;0;-1,5278578996658325
TZA;1;0,0666666701436043;0;6,63636350631714;6,25382900238037;5,63478946685791;0;-3,4420192241668701
UGA;1;0,0111111113801599;0;4,45454549789429;6,96602439880371;5,63478946685791;0;-3,4420192241668701
URY;0;0,3666666746139526;0;7,00000000000000;9,03121376037598;4,26268005371094;0;-1,0788096189498901
USA;0;0,4222222268581390;1;10,00000000000000;10,21574020385742;2,70805025100708;0;0,0000000000000000
VEN;0;0,0888888910412788;0;7,13636350631714;9,07107830047607;4,35799026489258;0;-0,7031974792480469
VNM;0;0,1777777820825577;0;6,40909099578857;7,27931880950928;4,94164228439331;1;NA
ZAF;1;0,3222222328186035;0;6,86363649368286;8,88599395751953;2,74083995819092;0;-1,3862943649291992
ZAR;1;0,0000000000000000;0;3,50000000000000;6,86693334579468;5,48063898086548;0;-3,4112477302551270
